            一年级口算能力调查卷11
题数	题目	题数	题目	题数	题目	题数	题目	题数	题目
1	38－6＝	21	4＋8＝	41	25－8＝	61	94－1＝	81	73－5＝
2	73－40＝	22	9＋7＝	42	24－7＝	62	76－10＝	82	83－5＝
3	83－20＝	23	86＋7＝	43	72－8＝	63	91－50＝	83	47＋9＝
4	71－1＝	24	34＋8＝	44	74－8＝	64	53－2＝	84	5＋9＝
5	31－20＝	25	24＋8＝	45	71－9＝	65	58＋40＝	85	59＋4＝
6	78－70＝	26	86＋7＝	46	96－7＝	66	23－20＝	86	56－7＝
7	96－70＝	27	57＋5＝	47	32－4＝	67	40－10＝	87	36－7＝
8	57－6＝	28	27＋4＝	48	72－3＝	68	39－30＝	88	64－9＝
9	99－7＝	29	18＋4＝	49	41－8＝	69	2＋70＝	89	29＋3＝
10	100－60＝	30	37＋7＝	50	62－9＝	70	78－4＝	90	14－7＝
11	88－50＝	31	37＋4＝	51	92－5＝	71	35－3＝	91	5＋7＝
12	61－20＝	32	38＋3＝	52	74－8＝	72	73－2＝	92	39＋5＝
13	49－4＝	33	24＋9＝	53	43－9＝	73	28－7＝	93	38＋8＝
14	29－7＝	34	77＋9＝	54	25－8＝	74	73－3＝	94	25＋9＝
15	19－9＝	35	29＋3＝	55	71－4＝	75	70＋8＝	95	65＋8＝
16	66－60＝	36	18＋7＝	56	33－9＝	76	78－50＝	96	28＋8＝
17	69－8＝	37	49＋4＝	57	41－4＝	77	42＋20＝	97	75＋6＝
18	96－6＝	38	57＋6＝	58	74－7＝	78	85－10＝	98	29＋8＝
19	19－6＝	39	16＋7＝	59	88－9＝	79	1＋40＝	99	43＋9＝
20	76－6＝	40	17＋6＝	60	44－6＝	80	12－10＝	100	81－4＝
 
                                                                                                       

