一年级口算能力调查卷13(混合运算)
题数	题目	题数	题目	题数	题目	题数	题目	题数	题目
1	8+3=	21	10+3=	41	2+20=	61	6-3=	81	2+5=
2	24+30=	22	78+20=	42	67-30=	62	3+5=	82	15-8=
3	11-6=	23	5+3=	43	59-9=	63	12-4=	83	40+23=
4	23+20=	24	6-4=	44	15-4=	64	8-1=	84	12-12=
5	8-4=	25	14-7=	45	30+5=	65	5+5=	85	11+5=
6	30+20=	26	50+10=	46	20-10=	66	50-20=	86	4-3=
7	4+20=	27	4+30=	47	59-20=	67	7+8=	87	48-10=
8	50+5=	28	80-50=	48	17-7=	68	2+1=	88	4+7=
9	14+10=	29	30+50=	49	30+3=	69	30+5=	89	12-6=
10	20+45=	30	19-8=	50	40-10=	70	11-4=	90	14+2=
11	5+4=	31	4+2=	51	9-2=	71	7+2=	91	30+20=
12	30-10=	32	27+40=	52	40-2=	72	6+3=	92	50-40=
13	53+3=	33	18-6=	53	57-20=	73	50-10=	93	11-3=
14	52+10=	34	5+10=	54	2+4=	74	8+3=	94	5+3=
15	7+7=	35	43-30=	55	7+20=	75	15-5=	95	8-1=
16	18-1=	36	25+20=	56	57-20=	76	2+8=	96	21+30=
17	17-8=	37	11-5=	57	13-3=	77	40+10=	97	4+50=
18	7+11=	38	11-8=	58	15-8=	78	8+6=	98	3+6=
19	70-50=	39	5+8=	59	8+0=	79	20-10=	99	40-20=
20	7-6=	40	34+10=	60	15-13=	80	3+6=	100	60+20=
 
                                                                                                       

